epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3428,2.54235,4.0517,1.48059,0.0018,0.08972,0.00196,0.00056,2.17598,3.70234,1.15424,8e-05,8e-05,8e-05
2,156.588,2.42494,3.93558,1.39892,0.00467,0.23328,0.00427,0.00164,2.0994,3.6639,1.04015,0.000178218,0.000178218,0.000178218
3,159.896,2.15854,3.38988,1.11576,0.00863,0.43067,0.02404,0.0079,1.88364,3.62023,0.99207,0.000274456,0.000274456,0.000274456
4,163.226,2.09421,2.72792,1.05075,0.00886,0.44209,0.05478,0.02131,1.94043,3.53576,0.98961,0.000368714,0.000368714,0.000368714
5,166.574,1.96261,2.26366,1.0169,0.00961,0.47961,0.03198,0.01102,1.70139,3.45469,0.94821,0.000460992,0.000460992,0.000460992
6,169.953,1.8384,1.93103,1.01421,0.00846,0.42251,0.00918,0.00391,1.65739,3.41175,0.94836,0.00055129,0.00055129,0.00055129
7,173.257,1.8187,1.97168,1.01318,0.0085,0.42414,0.00986,0.00382,1.73715,3.49858,0.97745,0.000639608,0.000639608,0.000639608
8,176.529,1.76701,1.80814,1.0219,0.00765,0.38173,0.00937,0.00408,1.7122,3.44962,0.96113,0.000725946,0.000725946,0.000725946
9,179.707,1.78706,1.6892,1.0135,0.00288,0.14356,0.00233,0.00131,1.68573,3.70096,1.00297,0.000810304,0.000810304,0.000810304
10,182.788,1.76917,1.73659,0.98343,0.00915,0.45677,0.01403,0.006,1.61603,3.39615,0.95198,0.000892682,0.000892682,0.000892682
11,185.861,1.65451,1.66355,0.9799,0.00797,0.39804,0.01043,0.00422,1.7156,3.38242,0.9971,0.00097308,0.00097308,0.00097308
12,189.009,1.68584,1.56204,0.98627,0.00866,0.4323,0.03454,0.01632,1.79018,3.17186,1.01966,0.0010515,0.0010515,0.0010515
13,192.34,1.61325,1.4071,0.96844,0.00742,0.37031,0.01848,0.00932,1.6744,3.58105,0.99545,0.00112794,0.00112794,0.00112794
14,195.586,1.62714,1.3892,0.97459,0.00301,0.15008,0.00299,0.00152,1.75269,3.6373,1.06728,0.00120239,0.00120239,0.00120239
15,198.848,1.61769,1.36228,0.9769,0.00801,0.39967,0.01841,0.00852,1.64882,4.01191,0.99052,0.00127487,0.00127487,0.00127487
16,201.944,1.62646,1.37988,0.97802,0.00876,0.43719,0.09902,0.05198,1.67908,3.15162,0.99607,0.00134537,0.00134537,0.00134537
17,205.023,1.64628,1.30516,0.97653,0.26557,0.04405,0.0456,0.02236,1.75112,3.01227,1.04352,0.00141389,0.00141389,0.00141389
18,207.999,1.63321,1.29189,0.976,0.67288,0.04363,0.10195,0.0543,1.66883,3.06688,1.02243,0.00148043,0.00148043,0.00148043
19,211.173,1.65148,1.27066,0.97173,0.59093,0.1925,0.16613,0.07497,1.73656,2.93403,1.02962,0.00154498,0.00154498,0.00154498
20,214.286,1.57773,1.29664,0.95987,0.86471,0.17725,0.41635,0.19398,1.66475,2.38796,0.97106,0.00160756,0.00160756,0.00160756
21,217.64,1.61146,1.25353,0.96557,0.53939,0.15498,0.26368,0.12194,1.82615,2.41099,1.0178,0.001604,0.001604,0.001604
22,220.734,1.61811,1.25046,0.9584,0.63963,0.30402,0.36214,0.15587,1.97478,1.97581,1.10255,0.0015842,0.0015842,0.0015842
23,223.724,1.64042,1.23317,0.97222,0.82232,0.16803,0.31838,0.16981,1.73433,2.26009,1.03381,0.0015644,0.0015644,0.0015644
24,226.752,1.53389,1.10704,0.9475,0.72415,0.03263,0.16008,0.08346,1.74927,3.03403,1.0486,0.0015446,0.0015446,0.0015446
25,229.761,1.52436,1.12709,0.96094,0.83466,0.0906,0.30461,0.14656,1.79267,2.6205,1.02595,0.0015248,0.0015248,0.0015248
26,232.913,1.68898,1.19553,0.98697,0.64787,0.24912,0.33689,0.15719,1.78214,2.17603,1.02824,0.001505,0.001505,0.001505
27,236.083,1.54518,1.12358,0.96242,0.53102,0.24144,0.27114,0.1386,1.73106,2.16779,1.00304,0.0014852,0.0014852,0.0014852
28,239.223,1.53356,1.08242,0.95081,0.4996,0.30016,0.34185,0.17344,1.75081,1.94089,1.00066,0.0014654,0.0014654,0.0014654
29,242.223,1.47587,1.02074,0.93213,0.45984,0.38989,0.37133,0.20516,1.65588,1.48608,0.99614,0.0014456,0.0014456,0.0014456
30,245.3,1.46195,0.98291,0.93782,0.49032,0.323,0.32376,0.17643,1.65618,1.82352,0.99014,0.0014258,0.0014258,0.0014258
31,248.321,1.49004,0.97884,0.94034,0.63141,0.46948,0.49401,0.24016,1.66361,1.25759,0.98609,0.001406,0.001406,0.001406
32,251.409,1.47323,0.99404,0.92848,0.5192,0.50559,0.45343,0.23901,1.63169,1.21061,0.99146,0.0013862,0.0013862,0.0013862
33,254.623,1.44911,0.95357,0.93738,0.64466,0.52692,0.55273,0.28117,1.65329,1.15285,0.99195,0.0013664,0.0013664,0.0013664
34,257.805,1.49876,0.95431,0.93026,0.65978,0.55139,0.57261,0.2789,1.63378,1.07953,0.99676,0.0013466,0.0013466,0.0013466
35,261.06,1.47074,0.9276,0.93255,0.70117,0.39478,0.47881,0.25683,1.61911,1.62977,0.98622,0.0013268,0.0013268,0.0013268
36,264.278,1.47738,0.93501,0.93167,0.68049,0.47947,0.53909,0.26858,1.66654,1.1136,0.9798,0.001307,0.001307,0.001307
37,267.432,1.45607,0.8893,0.92876,0.71628,0.51713,0.5863,0.29619,1.60651,1.04874,0.97146,0.0012872,0.0012872,0.0012872
38,270.626,1.46542,0.92409,0.94739,0.66131,0.48613,0.54456,0.27263,1.66629,1.1677,0.97873,0.0012674,0.0012674,0.0012674
39,273.721,1.45408,0.904,0.92581,0.68698,0.53507,0.58383,0.27973,1.66487,0.98942,0.99024,0.0012476,0.0012476,0.0012476
40,276.88,1.39012,0.84041,0.91422,0.75035,0.56875,0.64539,0.33366,1.59999,0.98195,0.99407,0.0012278,0.0012278,0.0012278
41,280.007,1.41364,0.87029,0.91906,0.72921,0.5052,0.59172,0.30092,1.59595,1.11519,0.98094,0.001208,0.001208,0.001208
42,283.085,1.42049,0.87749,0.91806,0.7318,0.52968,0.63266,0.33159,1.56674,1.00943,0.97719,0.0011882,0.0011882,0.0011882
43,286.145,1.45002,0.91715,0.92831,0.75768,0.55791,0.64118,0.32486,1.60934,1.02191,0.97329,0.0011684,0.0011684,0.0011684
44,289.149,1.48108,0.89504,0.93144,0.74903,0.6248,0.68444,0.35515,1.55207,0.97949,0.98897,0.0011486,0.0011486,0.0011486
45,292.203,1.49951,0.87859,0.9289,0.81834,0.62463,0.68698,0.35205,1.57372,0.88774,0.99587,0.0011288,0.0011288,0.0011288
46,295.268,1.45418,0.84616,0.92317,0.73127,0.60685,0.65616,0.34379,1.5536,0.93754,0.98868,0.001109,0.001109,0.001109
47,298.388,1.3794,0.83109,0.90642,0.84538,0.57083,0.66138,0.33371,1.5675,0.94953,0.9718,0.0010892,0.0010892,0.0010892
48,301.496,1.3867,0.8373,0.9106,0.73559,0.55139,0.61335,0.32756,1.55786,0.94384,0.974,0.0010694,0.0010694,0.0010694
49,304.581,1.33692,0.80882,0.91108,0.71517,0.56936,0.61587,0.32495,1.53228,0.99512,0.97773,0.0010496,0.0010496,0.0010496
50,307.55,1.30994,0.77614,0.89903,0.77212,0.54169,0.64192,0.34282,1.54135,1.06657,0.96334,0.0010298,0.0010298,0.0010298
51,310.512,1.35424,0.77476,0.9153,0.71055,0.54486,0.63467,0.32719,1.57514,1.10113,0.99027,0.00101,0.00101,0.00101
52,313.51,1.40622,0.79983,0.906,0.75428,0.59592,0.6846,0.34858,1.56595,0.86319,0.98741,0.0009902,0.0009902,0.0009902
53,316.621,1.28483,0.75336,0.89482,0.68697,0.59869,0.6469,0.33538,1.56376,0.91507,0.97625,0.0009704,0.0009704,0.0009704
54,319.808,1.35816,0.77422,0.91646,0.66672,0.62316,0.63636,0.33432,1.53464,0.92245,0.97617,0.0009506,0.0009506,0.0009506
55,322.961,1.38056,0.76977,0.90204,0.77576,0.62969,0.69814,0.36802,1.51398,0.85339,0.96079,0.0009308,0.0009308,0.0009308
56,326.133,1.30881,0.73276,0.89572,0.79095,0.64763,0.72397,0.38073,1.52737,0.82638,0.96155,0.000911,0.000911,0.000911
57,329.185,1.30735,0.7503,0.90672,0.79773,0.62643,0.71189,0.36472,1.55324,0.83779,0.96176,0.0008912,0.0008912,0.0008912
58,332.237,1.35899,0.80486,0.90543,0.74918,0.65295,0.71132,0.36904,1.56862,0.82193,0.97235,0.0008714,0.0008714,0.0008714
59,335.283,1.28977,0.72329,0.89415,0.74576,0.65579,0.71949,0.37977,1.52699,0.81695,0.96538,0.0008516,0.0008516,0.0008516
60,338.369,1.29914,0.74173,0.89359,0.74849,0.61501,0.70214,0.37169,1.53893,0.81565,0.96535,0.0008318,0.0008318,0.0008318
61,341.458,1.31477,0.72268,0.90407,0.68705,0.60167,0.63013,0.32422,1.57527,0.9354,0.97041,0.000812,0.000812,0.000812
62,344.656,1.24829,0.68864,0.89193,0.71629,0.6178,0.66266,0.33567,1.56013,0.92272,0.97324,0.0007922,0.0007922,0.0007922
63,347.674,1.23951,0.69368,0.8831,0.75491,0.6331,0.69686,0.35418,1.55226,0.89049,0.9781,0.0007724,0.0007724,0.0007724
64,350.69,1.25627,0.7036,0.89218,0.7459,0.65416,0.70699,0.36619,1.51332,0.86695,0.96022,0.0007526,0.0007526,0.0007526
65,353.7,1.24103,0.69407,0.88412,0.80768,0.644,0.71727,0.3825,1.52156,0.83669,0.96729,0.0007328,0.0007328,0.0007328
66,356.721,1.28516,0.70483,0.90194,0.77921,0.59543,0.65825,0.32778,1.62901,0.86481,0.98739,0.000713,0.000713,0.000713
67,359.945,1.23692,0.69022,0.8844,0.75615,0.62222,0.67846,0.35346,1.59688,0.85821,0.98605,0.0006932,0.0006932,0.0006932
68,363.109,1.20716,0.67526,0.88259,0.762,0.61632,0.67233,0.32439,1.64162,0.8734,0.99272,0.0006734,0.0006734,0.0006734
69,366.156,1.27878,0.69343,0.88785,0.72695,0.61673,0.68766,0.3437,1.67285,0.83527,1.00167,0.0006536,0.0006536,0.0006536
70,369.166,1.28874,0.68384,0.87974,0.77895,0.57096,0.66343,0.34068,1.62193,0.94618,0.99305,0.0006338,0.0006338,0.0006338
71,372.135,1.21968,0.66618,0.87927,0.82825,0.58401,0.69162,0.36592,1.53701,0.88828,0.96975,0.000614,0.000614,0.000614
72,375.15,1.17257,0.64294,0.87255,0.83812,0.58278,0.70181,0.36977,1.52991,0.91943,0.96368,0.0005942,0.0005942,0.0005942
73,378.271,1.23636,0.676,0.87335,0.81814,0.60685,0.71563,0.37909,1.55061,0.85814,0.968,0.0005744,0.0005744,0.0005744
74,381.402,1.23245,0.66134,0.88559,0.80223,0.63785,0.7268,0.38372,1.51254,0.80576,0.96702,0.0005546,0.0005546,0.0005546
75,384.592,1.17108,0.64571,0.86873,0.81761,0.57259,0.69354,0.3603,1.56146,0.89544,0.97806,0.0005348,0.0005348,0.0005348
76,387.677,1.21763,0.67159,0.87819,0.72532,0.66768,0.7187,0.38418,1.52437,0.81658,0.97557,0.000515,0.000515,0.000515
77,390.676,1.1748,0.63844,0.86692,0.85255,0.59425,0.71775,0.37976,1.54777,0.87964,0.98412,0.0004952,0.0004952,0.0004952
78,393.682,1.11476,0.6202,0.86447,0.78824,0.57586,0.67437,0.34448,1.60039,0.97155,1.00274,0.0004754,0.0004754,0.0004754
79,396.64,1.17176,0.63382,0.86589,0.8256,0.59217,0.69288,0.36253,1.56617,0.9274,0.98418,0.0004556,0.0004556,0.0004556
80,399.706,1.14596,0.63286,0.87692,0.84198,0.59217,0.71067,0.3771,1.55031,0.88991,0.97659,0.0004358,0.0004358,0.0004358
81,402.794,1.12418,0.6141,0.87077,0.79929,0.62367,0.71722,0.37951,1.53334,0.86585,0.97308,0.000416,0.000416,0.000416
82,405.898,1.13914,0.62399,0.8628,0.81505,0.62543,0.72128,0.37107,1.52878,0.83298,0.96631,0.0003962,0.0003962,0.0003962
83,408.968,1.14968,0.63245,0.86693,0.81565,0.62643,0.72339,0.37764,1.53541,0.81783,0.97029,0.0003764,0.0003764,0.0003764
84,411.904,1.11967,0.60714,0.86162,0.83439,0.63286,0.72623,0.38155,1.54803,0.84349,0.97869,0.0003566,0.0003566,0.0003566
85,414.894,1.12486,0.60841,0.86831,0.84134,0.6488,0.7433,0.39457,1.48899,0.76934,0.96624,0.0003368,0.0003368,0.0003368
86,417.915,1.11781,0.60463,0.85882,0.7961,0.66558,0.74392,0.39603,1.49664,0.75671,0.96957,0.000317,0.000317,0.000317
87,420.989,1.03744,0.57018,0.85702,0.7842,0.65905,0.73456,0.38912,1.5001,0.76411,0.97006,0.0002972,0.0002972,0.0002972
88,424.22,1.07262,0.58064,0.85682,0.79435,0.66163,0.73203,0.3886,1.51613,0.77966,0.97649,0.0002774,0.0002774,0.0002774
89,427.356,1.08896,0.61835,0.8477,0.82556,0.61765,0.71079,0.37946,1.53993,0.76217,0.97912,0.0002576,0.0002576,0.0002576
90,430.467,1.05733,0.59633,0.84949,0.83194,0.65253,0.7498,0.40149,1.50073,0.74928,0.97312,0.0002378,0.0002378,0.0002378
91,441.694,1.11569,0.61154,0.85784,0.78274,0.65827,0.73533,0.39346,1.54281,0.78341,0.98235,0.000218,0.000218,0.000218
92,445.347,1.06904,0.57164,0.85773,0.77017,0.65601,0.71794,0.38777,1.52417,0.79937,0.98331,0.0001982,0.0001982,0.0001982
93,448.739,1.03177,0.55243,0.84677,0.80124,0.61818,0.72304,0.39067,1.52721,0.77619,0.97927,0.0001784,0.0001784,0.0001784
94,452.063,1.05387,0.57525,0.86242,0.79195,0.64763,0.73667,0.39134,1.52865,0.77163,0.98358,0.0001586,0.0001586,0.0001586
95,455.235,1.01474,0.56208,0.8485,0.80294,0.65253,0.74253,0.39489,1.51427,0.7465,0.97694,0.0001388,0.0001388,0.0001388
96,458.345,1.036,0.55541,0.85615,0.82057,0.66558,0.75136,0.38922,1.53862,0.74904,0.98497,0.000119,0.000119,0.000119
97,461.391,1.03091,0.5455,0.85345,0.83103,0.66595,0.75467,0.39578,1.52055,0.74233,0.97809,9.92e-05,9.92e-05,9.92e-05
98,464.462,1.02598,0.5599,0.85031,0.82495,0.66884,0.75515,0.40005,1.51616,0.74753,0.97909,7.94e-05,7.94e-05,7.94e-05
99,467.622,1.00474,0.52885,0.84736,0.82675,0.66168,0.75548,0.39809,1.5212,0.74548,0.98012,5.96e-05,5.96e-05,5.96e-05
100,470.764,1.01258,0.53096,0.84897,0.83733,0.65496,0.75616,0.39887,1.51969,0.73546,0.97937,3.98e-05,3.98e-05,3.98e-05
