epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,92.5993,1.48922,3.05096,0.98133,0.01559,0.2063,0.06421,0.0477,1.39857,3.2911,0.91896,0.000409226,0.000409226,0.000409226
2,99.9392,1.49718,1.68817,0.96034,0.49751,0.17237,0.17141,0.10359,1.37376,1.71839,0.92556,0.000817717,0.000817717,0.000817717
3,107.48,1.4091,1.48256,0.9456,0.51246,0.23983,0.2279,0.12682,1.35823,1.53301,0.9289,0.00121796,0.00121796,0.00121796
4,114.847,1.37792,1.29857,0.94156,0.46878,0.30168,0.26818,0.15021,1.30556,1.33419,0.93352,0.00121287,0.00121287,0.00121287
5,122.169,1.29238,1.19596,0.92132,0.4634,0.30015,0.28358,0.16849,1.24658,1.18918,0.91668,0.0012005,0.0012005,0.0012005
6,129.595,1.26487,1.16171,0.91987,0.51998,0.30806,0.30198,0.17829,1.24557,1.14754,0.91174,0.00118812,0.00118812,0.00118812
7,136.453,1.23276,1.12397,0.91918,0.46075,0.33562,0.32355,0.19108,1.26618,1.13787,0.92293,0.00117575,0.00117575,0.00117575
8,143.632,1.24464,1.08838,0.91457,0.47584,0.35617,0.33969,0.19746,1.22003,1.0443,0.91977,0.00116337,0.00116337,0.00116337
9,150.841,1.17879,1.03808,0.91,0.46386,0.37055,0.33423,0.19968,1.18391,1.03033,0.91119,0.001151,0.001151,0.001151
10,157.851,1.1573,0.98895,0.90529,0.53949,0.36802,0.37059,0.22391,1.16823,1.03195,0.91199,0.00113863,0.00113863,0.00113863
11,165.248,1.16874,0.97699,0.89835,0.556,0.35657,0.35866,0.21115,1.17874,1.03761,0.91062,0.00112625,0.00112625,0.00112625
12,172.222,1.16201,0.94514,0.90128,0.47913,0.34154,0.35913,0.22028,1.1349,0.99354,0.89885,0.00111388,0.00111388,0.00111388
13,179.186,1.14345,0.93716,0.89369,0.56655,0.35004,0.3791,0.23156,1.14706,0.97482,0.89938,0.0011015,0.0011015,0.0011015
14,186.56,1.15338,0.91779,0.89311,0.56202,0.36306,0.38113,0.23466,1.13624,0.98803,0.89569,0.00108913,0.00108913,0.00108913
15,193.615,1.11861,0.89205,0.88868,0.54316,0.36259,0.3688,0.21826,1.13623,0.98962,0.89872,0.00107675,0.00107675,0.00107675
16,200.649,1.15917,0.90862,0.89426,0.49406,0.38134,0.3734,0.22341,1.19785,0.9742,0.90659,0.00106437,0.00106437,0.00106437
17,207.893,1.12704,0.88969,0.8913,0.53917,0.37428,0.36726,0.21701,1.17885,1.01005,0.90713,0.001052,0.001052,0.001052
18,214.931,1.13281,0.86541,0.88755,0.57189,0.3552,0.37538,0.22642,1.11455,0.97987,0.90304,0.00103962,0.00103962,0.00103962
19,222.192,1.10291,0.83902,0.88405,0.4992,0.40667,0.37083,0.2228,1.11955,0.97683,0.90381,0.00102725,0.00102725,0.00102725
20,229.385,1.07398,0.84294,0.88643,0.5086,0.3827,0.38841,0.23938,1.12217,0.94452,0.8948,0.00101488,0.00101488,0.00101488
21,236.301,1.08169,0.82276,0.88357,0.53844,0.41228,0.39455,0.23798,1.12032,0.94667,0.8957,0.0010025,0.0010025,0.0010025
22,243.616,1.10735,0.84341,0.8849,0.53728,0.3763,0.39097,0.24071,1.10415,0.92575,0.89047,0.000990125,0.000990125,0.000990125
23,250.754,1.10782,0.8229,0.87672,0.56232,0.39957,0.40446,0.24522,1.08758,0.91509,0.89266,0.00097775,0.00097775,0.00097775
24,257.713,1.05304,0.79492,0.87986,0.4784,0.41131,0.39209,0.24299,1.10276,0.92834,0.89247,0.000965375,0.000965375,0.000965375
25,265.112,1.08783,0.81243,0.88287,0.61823,0.38194,0.40838,0.25684,1.11937,0.90778,0.89582,0.000953,0.000953,0.000953
26,272.095,1.09339,0.83835,0.88909,0.5188,0.42053,0.41387,0.25533,1.0617,0.89028,0.89111,0.000940625,0.000940625,0.000940625
27,279.264,1.05668,0.77721,0.87705,0.50223,0.41077,0.4034,0.24591,1.09535,0.90694,0.89076,0.00092825,0.00092825,0.00092825
28,286.451,1.06528,0.77442,0.87553,0.59156,0.34614,0.39519,0.23092,1.16315,0.94726,0.90625,0.000915875,0.000915875,0.000915875
